Job Title,Company Name,Post Date,Job Location,Job Skills,Job Time Status,Job Location Status,Links,Salary,Requirements
Python - Django Full-Stack Developer,Software House Solution  -,4 days ago,"Heliopolis, Cairo, Egypt ",Full TimeOn-siteEntry Level · 0 - 4 Yrs of Exp · IT/Software Development · Engineering - Other · Python · Django · JavaScript · HTML5 · CSS3 · React · SQL · Git,Full Time,On-site,https://wuzzuf.net/jobs/p/arhv2w0oftz7-python-django-full-stack-developer-software-house-solution-cairo-egypt,Not specified,"Bachelor’s degree in Computer Science, Software Engineering, or a related field.2-4 years of professional experience as a Python and Django developer.Proven experience with front-end technologies such as HTML5, CSS3, JavaScript, and modern frameworks (e.g., React, Angular, or Vue.js).Strong understanding of RESTful API design and integration.Familiarity with relational databases such as PostgreSQL or MySQL.Experience with version control systems, preferably Git.Ability to work effectively in a fast-paced, collaborative, and open office environment.Excellent problem-solving and analytical skills.Strong communication and teamwork abilities.Demonstrated ability to manage multiple priorities and meet deadlines."
Python Developer,Digizilla -,20 hours ago,"Nasr City, Cairo, Egypt ",Full TimeOn-siteEntry Level · 0 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Flask · Django · SQL · Team Collaboration · Object-Oriented Programming (OOP) · Git · Problem Solving,Full Time,On-site,https://wuzzuf.net/jobs/p/kfghqwanrucc-python-developer-digizilla-cairo-egypt,Not specified,
Senior Backend Engineer (Node.js / Python),Confidential AI Legal Tech Platform -,2 days ago,"New Cairo, Cairo, Egypt ",Full TimeOn-siteExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PostgreSQL · DynamoDB · Back-End Development · Python · Python Scripting · python development · Software Development · Software Engineering,Full Time,On-site,https://wuzzuf.net/jobs/p/wtsuxy6uhwwi-senior-backend-engineer-nodejs-python-confidential-ai-legal-tech-platform-cairo-egypt,Not specified,3+ Years in Python BackendBS in Computer Science or equivalent discipline.Required expertise includes PostgreSQL (JSONB) and DynamoDB.
Python Developer,ZTechnium -,2 days ago,"Nasr City, Cairo, Egypt ",InternshipOn-siteEntry Level · 0 - 1 Yrs of Exp · IT/Software Development · Computer Science · Information Technology (IT) · Python · orm · Communication · Data · Data Structures · Linux · OOP,Internship,On-site,https://wuzzuf.net/internship/cqxhxddmknzx-python-developer-ztechnium-cairo-egypt,Not specified,"Solid understanding of Python programmingFamiliar with basic data structures, OOP, and SQLComfortable using Linux, Git, and command-line toolsast learner with good communication and collaboration skillsAbility to dedicate at least 20–30 hours per week"
Python Instructor for Kids 13-17 - Alexandria,CodeTreps -,2 days ago,"Mahta Alraml, Alexandria, Egypt ",Full TimePart TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Education/Teaching · Training/Instructor · Teaching · instructor · Education · MIT AppInventor · Code.org · Pictoblox · Coding,Full Time,On-site,https://wuzzuf.net/jobs/p/x0wsybvwib7i-python-instructor-for-kids-13-17-alexandria-codetreps-alexandria-egypt,Not specified,"You have previous experience with teaching kids Python (ages 13 - 17), and are quite comfortable managing a class of kids in the age range of 13-17 years old.A focus on student engagement, enjoyment, and understanding rather than just syllabus completion.Having background in Coding/Computer Science and in the Python programming language so that you're able to advise on new Curriculum Developments for Python track.You are comfortable with public speaking and presenting to crowds (maybe even enjoy it) both in  Arabic and EnglishYou have a good spoken English. And you must be based in Alexandria, Egypt.Have some professional experience with coding (even through freelance work or internships)Have a reasonable background in entrepreneurship concepts.Have background in any of the following: Scratch, Pictoblocks, Code.org, JavaScript, MIT App Inventor, IoT, or Microcontrollers is a big plus.Experience with coding competitions for kids."
Senior Backend Developer (Python/Django),Nexus Analytica -,4 days ago,"Shorouk City, Cairo, Egypt ",Full TimeOn-siteExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Django Framework · RESTful APIs · SOLID OOP Principles · Data Modeling · ORM · Asynchronous Programming · Pipeline Management,Part Time,On-site,https://wuzzuf.net/jobs/p/zonhevxnq9rj-senior-backend-developer-pythondjango-nexus-analytica-cairo-egypt,Not specified,"Strong command of Django, Django REST Framework, and Python tooling.Solid understanding of relational databases (e.g., PostgreSQL, MySQL) and ORM optimization.Familiarity with cloud platforms (preferably Microsoft Azure) and containerized environments (Docker).Working knowledge of Git, CI/CD pipelines, and RESTful integration.Experience with test-driven development and debugging complex systems.Strong problem-solving, debugging, and analytical skills.Excellent written and verbal communication.Ability to work independently and as part of a team in Agile/Scrum environments.Experience with GraphQL or WebSocket implementations.Familiarity with Azure services like Azure App Services, Key Vault, Azure Functions, or AKS.Background in energy, mobility, or digital infrastructure platforms.Exposure to secure coding practices and data privacy regulations (e.g., GDPR)."
AI Developer (Python),Ultimate Solutions Egypt -,4 days ago,"Sheikh Zayed, Giza, Egypt ",Full TimeOn-siteExperienced · 1 - 2 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · AI · AWS · Azure · Computer Science · Data Science · Git · Information Technology (IT),Full Time,On-site,https://wuzzuf.net/jobs/p/fzhlcjbkzah5-ai-developer-python-ultimate-solutions-egypt-giza-egypt,Not specified,"Bachelor's degree in Computer Science, Data Science, or related field1-2 years of experience in Python programmingBasic understanding of machine learning conceptsKnowledge of Python fundamentals and data structuresExperience with basic data manipulation using pandas and NumPyFamiliarity with at least one ML framework (TensorFlow, PyTorch, or scikit-learn)Understanding of basic statistical conceptsKnowledge of Git version control basicsPython programming basicsBasic understanding of: NumPy and pandas for data handlingMatplotlib or Plotly for visualizationOne ML framework (TensorFlow, PyTorch, or scikit-learn)NumPy and pandas for data handlingMatplotlib or Plotly for visualizationOne ML framework (TensorFlow, PyTorch, or scikit-learn)Basic SQL knowledgeGit fundamentalsBasic understanding of: Neural networksNatural Language Processing conceptsComputer Vision basicsNeural networksNatural Language Processing conceptsComputer Vision basicsExposure to Jupyter notebooksBasic knowledge of any cloud platform (AWS, Azure, or GCP)Strong eagerness to learnGood communication skillsAbility to work in a teamProblem-solving mindsetAttention to detailOpen to feedback and guidanceReduced experience requirements (1-2 year)Focused on basic/fundamental understanding rather than extensive experienceAdded more emphasis on learning and developmentSimplified technical requirementsAdded structured mentorship and training programsReduced complexity of responsibilitiesMore supportive and learning-focused environmentEmphasis on growth opportunities"
Backend Developer,lo la  -,4 days ago,"New Cairo, Cairo, Egypt ",Full TimeHybridExperienced · 4 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · API Design · Backend Development · Database Management · RESTful Services · Node.js · Cloud Computing · Version Control (Git) · Problem Solving,Full Time,Hybrid,https://wuzzuf.net/jobs/p/e7ezx33scju0-backend-developer-lo-la-cairo-egypt,Not specified,"Minimum of 4 years of professional experience in backend development.Proven expertise in at least one backend programming language such as Node.js, Python, Java, or Ruby.Strong understanding of RESTful API design and implementation.Experience with relational and/or NoSQL databases (e.g., PostgreSQL, MySQL, MongoDB).Familiarity with version control systems, particularly Git.Ability to work effectively in a hybrid (remote and on-site) environment.Excellent problem-solving skills and attention to detail.Strong communication and collaboration abilities.Experience with cloud platforms (e.g., AWS, Azure, Google Cloud) is a requirement.Demonstrated ability to manage multiple priorities and meet deadlines."
IT Professional with AI Expertise,Confidential -,5 days ago,"Riyadh, Saudi Arabia ",Full TimeOn-siteExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Software Engineering · Python · DevOps · Artificial Intelligence · Machine Learning · IT Infrastructure · Data Analysis · Python Programming · Project Management,Full Time,On-site,https://wuzzuf.net/saudi/jobs/p/l4fulefbchnv-it-professional-with-ai-expertise-riyadh-saudi-arabia,Not specified,"5–7 years of experience in IT roles, systems integration, cloud services, or enterprise platformsMin 2 yrs experience in AI/ML development using Python, TensorFlow, PyTorch, or similar toolsExposure to MS services such as Azure, Power Platform, BI, Dynamics 365, or Microsoft 365Familiarity with cloud platforms, DevOps, and containerization (Docker, Kubernetes)Strong analytical and problem-solving skillsCertifications in Azure AI, Data Science, or related technologies.Experience with data engineering and MLOps pipelinesUnderstanding of AI ethics and responsible AI practice"
Data Scientist with Database Expertise,Confidential -,17 days ago,"Riyadh, Saudi Arabia ","Full TimeOn-siteExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Data Science · Database Management · Python · Data Analysis · Machine Learning · Data Visualization · SQL · ETL (Extract, Transform, Load) · Big Data Technologies",Full Time,On-site,https://wuzzuf.net/saudi/jobs/p/x2pipe3h9jpr-data-scientist-with-database-expertise-riyadh-saudi-arabia,Not specified,
AI Automation Engineer,Confidential -,21 days ago,"Cairo, Egypt ",Full TimeRemoteExperienced · 3 - 20 Yrs of Exp · IT/Software Development · Media/Journalism/Publishing · Engineering - Telecom/Technology · AI Automation · Machine Learning · Python Programming · Remote Collaboration · PyTorch · Video Encoding & Transcoding · TensorFlow,Full Time,Remote,https://wuzzuf.net/jobs/p/qxxdqw9wi1bi-ai-automation-engineer-cairo-egypt,Not specified,"Experience with AI integration tools (n8n, Google Opal, Zapier, or Make.com)Experience using OpenAI, Gemini, Anthropic, or similar APIsStrong knowledge of Python, Node.js, or Go for automation scriptingHands-on experience with REST APIs, especially Podio APIFamiliarity with email automation and CRM integrationUnderstanding of prompt engineering and LLM fine-tuningExperience deploying chatbots or virtual assistants (website or WhatsApp)Experience with AI integration tools (n8n, Google Opal, Zapier, or Make.com)Experience using OpenAI, Gemini, Anthropic, or similar APIsStrong knowledge of Python, Node.js, or Go for automation scriptingHands-on experience with REST APIs, especially Podio APIFamiliarity with email automation and CRM integrationUnderstanding of prompt engineering and LLM fine-tuningExperience deploying chatbots or virtual assistants (website or WhatsApp)Basic knowledge of marketing automation workflowsUnderstanding of sales processes or technical quotation systems"
Senior Odoo Developer,ITSS -,22 days ago,"Maadi, Cairo, Egypt ",Full TimeHybridExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Python · SQL Server Integration Services · Odoo ERP · Odoo Development · JavaScript,Full Time,Hybrid,https://wuzzuf.net/jobs/p/fggpnbnaolvn-senior-odoo-developer-itss-cairo-egypt,Not specified,"Strong Python programming skills (Odoo backend is Python-based).Deep understanding of Odoo ORM, workflows, models, and business logic.Experience in building new Odoo modules from scratch and customizing existing ones.Good knowledge of Odoo frontend (XML, QWeb templates, JavaScript, Owl framework).Experience with APIs and third-party integrations (REST, SOAP, JSON, etc.).Knowledge of PostgreSQL database structure and optimization.Familiar with Linux environments, Git, and deployment processes.Experience with Odoo.sh or self-hosted Odoo servers."
IOT Developer,Smart EGAT -,2 months ago,"Haram, Giza, Egypt ","Full TimeOn-siteExperienced · 2 - 6 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · IOT Development · Embedded Systems · Programming (Python, C, C++, Java) · Sensor Integration · Firmware Development · Communication Protocols (MQTT, CoAP, HTTP, TCP/IP)",Full Time,On-site,https://wuzzuf.net/jobs/p/vmn6urzxgf1z-iot-developer-smart-egat-giza-egypt,Not specified,"2-6 years of professional experience in IOT development or related fields.Proficiency in programming languages such as Python, C, C++, or Java.Experience with microcontrollers, embedded systems, and sensor integration.Strong understanding of communication protocols like MQTT, CoAP, HTTP, and TCP/IP.Familiarity with cloud platforms and IOT frameworks (e.g., AWS IoT, Azure IoT, Google Cloud IoT).Ability to design and implement secure and scalable IOT architectures.Excellent problem-solving skills and attention to detail.Strong collaboration and communication abilities within cross-functional teams.Experience with testing, debugging, and optimizing IOT devices and systems.Bachelor’s degree in Computer Science, Electronics, Electrical Engineering, or a related field."
AI Deployment Engineer,Efada Technology -,2 months ago,"New Cairo, Cairo, Egypt ",Full TimeOn-siteExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Machine Learning · AI Deployment · CI/CD Automation · Cloud Computing · Python Programming · Containerization (Docker/Kubernetes) · System Monitoring,Full Time,On-site,https://wuzzuf.net/jobs/p/vcmure4mgiky-ai-deployment-engineer-efada-technology-cairo-egypt,Not specified,"2-5 years of experience in customer-facing technical roles (Solutions Engineering, DevOps, ML Infrastructure Engineering).A degree (BS, MS) in Computer Science, Computer Engineering, Electrical Engineering, or a related technical field, or equivalent practical experience.Strong expertise in Linux systems, distributed computing, Kubernetes, and GPU scheduling.Experience with AI/ML, particularly in supporting inference workloads and large-scale training.Proficient in programming with Python, and familiar with AI frameworks like PyTorch, TensorFlow, or similar.Strong ability to engage with clients and work effectively with technical teams in high-pressure environments.Familiarity with DGX systems, CUDA, NeMo, Triton, or NIM.Hands-on experience with cloud platforms like AWS, Azure, or GCP AI services.MLOps experience, particularly with containerization, CI/CD pipelines, and observability tools.Experience with Infrastructure as Code using Terraform, Ansible, or similar automation tools.Background in integrating enterprise software with platforms like Salesforce, ServiceNow, or similar systems."
Data Scientist & Instructor,EpsilonAI -,2 months ago,"Nasr City, Cairo, Egypt ",Full TimeHybridEntry Level · 0 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Training/Instructor · Data Science · Machine Learning · Python Programming · Teaching & Instruction · Curriculum Development · Statistical Analysis · Communication,Full Time,Hybrid,https://wuzzuf.net/jobs/p/ttpgt6yzzqfy-data-scientist-instructor-epsilonai-cairo-egypt,Not specified,"Bachelor’s degree in Computer Science, Computer Engineering, Software Engineering, Information Systems, or any related technical field (required)0-3 years of professional experience in data science, machine learning, or artificial intelligence.Strong programming proficiency in PythonProficiency in Python and popular data science libraries (e.g., pandas, scikit-learn, TensorFlow, PyTorch).Solid understanding of SQL and relational databasesExperience with EDA and data preprocessingStrong understanding of machine learning algorithms, data preprocessing, and model evaluation techniques.Familiarity with basic deployment flows (Flask/FastAPI, cloud, or Docker)Version control experience (Git)Strong communication and presentation abilitiesAbility to explain technical concepts clearly and professionallyWillingness to mentor, teach, and support learnersProblem-solving mindset and analytical thinkingAbility to work in a fast-paced, dynamic environmentDemonstrated experience teaching, mentoring, or delivering technical training in an academic or corporate setting.Excellent communication and presentation skills, with the ability to explain complex concepts to diverse audiences.Prior instructor, TA, or mentorship experienceCompletion of CDSP or similar professional certificationEpsilon AI alumni are strongly preferredExposure to cloud platforms (AWS, GCP, Azure) is a bonus"
Senior Data Scientist,Egabi FSI  -,9 days ago,"Sheraton, Cairo, Egypt ",Full TimeOn-siteExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Data Mining · Data Science · data scientist · Hadoop · Machine Learning · Python · SQL,Full Time,On-site,https://wuzzuf.net/jobs/p/bjkwbsplgsfi-senior-data-scientist-egabi-fsi-cairo-egypt,Not specified,"Bachelor’s degree in Computer Science, Data Science, or a related field.Proven experience as a Data Scientist or in a similar analytical role.Proficiency in programming languages such as Python, R scripting, or SQL.Experience with machine learning frameworks and libraries (e.g., TensorFlow, scikit-learn, PyTorch).Strong knowledge of statistical analysis, data mining, and data visualization techniques.Familiarity with data visualization tools such as Tableau, Power BI, or Matplotlib.Excellent problem-solving skills, result-oriented, and attention to detail.Strong communication skills with the ability to explain complex concepts to non-technical stakeholders.Experience with big data technologies (e.g., Hadoop, Spark) is a plus.Knowledge of cloud platforms (e.g., AWS, Google Cloud, Azure) is desirable.Excellent English speaking and business writingCompetitive monthly salary.Social & Family Health insurance (We bear it entirely).2 days off/week (Friday & Saturday).Great Place to work located in Sheraton Heliopolis, CairoAwesome Team, we have the best team that is supportive, collaborative, professional, and fun."
Odoo Developer,National Technology -,8 days ago,"Nasr City, Cairo, Egypt ","Full TimeHybridEntry Level · 1 - 3 Yrs of Exp · males_preferred · IT/Software Development · Engineering - Telecom/Technology · Odoo Development · Python Programming · ERP Customization · PostgreSQL · Web Development (HTML, CSS, JavaScript, XML) · API Integration · Problem Solving · Remote Collaboration",Full Time,Hybrid,https://wuzzuf.net/jobs/p/npgutls06dsb-odoo-developer-national-technology-cairo-egypt,Not specified,"1 - 3 years of experience in Odoo is a MUST.Commitment and responsible qualities are highly required.Business background is a plusVery Good verbal and written communication skills, including the ability to communicate with internal and external clients effectively.Fast learning.Ability to work independently and to carry out assignments to completion within the parameters of instructions"
Process Engineer,Groupe- Atlantic -,9 days ago,"10th of Ramadan City, Cairo, Egypt ",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Manufacturing/Production · Engineering - Mechanical/Electrical · Engineering · Mechanical Engineering · Production · Process · Manufacturing · Process Improvement · Python · Six Sigma,Full Time,On-site,https://wuzzuf.net/jobs/p/0idh5a4m3buf-process-engineer-groupe-atlantic-cairo-egypt,Not specified,"Education: Bachelor’s degree in mechanical engineering, or a related field.Experience: 1-2 years of experience in a manufacturing or production environment, particularly with hands-on involvement in process improvement and troubleshooting.Technical Skills: Solid understanding of mechanical systems, process optimization, and industrial equipment.Communication Skills: Strong ability to communicate effectively with both technical and non-technical personnel. Must be able to explain complex technical issues to team members and coordinate with cross-functional departments.Problem-Solving: Ability to analyze complex problems on the production line and implement efficient, practical solutions.Physical Capabilities: Ability to actively engage in physical tasks on the production floor, such as machine adjustments, and installations.Languages: perfect English skillsComputer Skills:"
Data Analyst,Sun Pyramids Tours -,10 days ago,"Haram, Giza, Egypt ",Full TimeOn-siteExperienced · 2+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Dashboard Development · Data Analysis · Data Visualization · SQL · Excel · Python · Statistical Analysis,Full Time,On-site,https://wuzzuf.net/jobs/p/i1buzecw0ckr-data-analyst-sun-pyramids-tours-giza-egypt,Not specified,"Bachelor’s degree in Data Science, Computer Science, Statistics, or a related field.Minimum of 2 years of experience as a Data Analyst or in a similar role.Strong experience with Excel, SQL, and Power BI.Hands-on experience with Azure Cloud platforms.Knowledge of web scraping tools or techniques.Excellent analytical, critical-thinking, and problem-solving skills.Strong communication and presentation abilities.Experience in the tourism or hospitality industry is a strong advantage.Ability to work independently and manage projects from start to finish.Available to join immediately."
AI Software Engineer (LLM & Full-Stack Systems),Pure Group  -,11 days ago,"Cairo, Egypt ","Full TimeOn-siteExperienced · 4 - 5 Yrs of Exp · IT/Software Development · Large Language Models (LLMs) · Full-Stack Development · Python · Database Management (SQL/NoSQL) · Cloud Computing (AWS, Azure, GCP) · API Development · JavaScript/TypeScript",Full Time,On-site,https://wuzzuf.net/jobs/p/rnyo5u2uu5nr-ai-software-engineer-llm-full-stack-systems-pure-group-cairo-egypt,Not specified,"Languages: Python, TypeScript/JavaScript, SQL, Bash.Frameworks: FastAPI, Flask, Django, React, Next.js, LangChain, LlamaIndex.Databases: PostgreSQL, MongoDB, Redis, Qdrant, Pinecone.AI & ML Stack: PyTorch, Transformers, Hugging Face, vLLM, Ollama, OpenAI SDK.DevOps & Cloud: Docker, Kubernetes, GCP, GitHub Actions, Terraform.Observability: Prometheus, Grafana, OpenTelemetry, Sentry, ELK stack.Preferred Add-ons: Experience with edge inference, GPU orchestration, or local on-prem deployments.Minimum 4–5 years of professional experience in software development, including hands-on work with Generative AI applications in production environments.Bachelor’s or Master’s degree in Computer Science, Artificial Intelligence, or related field.Proven experience in building and scaling AI-powered applications in production.Demonstrated ability to own the full lifecycle — from ideation to deployment and monitoring.Ownership mentality and strong debugging instincts.Ability to design clean architectures and maintain production-grade code.Deep curiosity for emerging AI trends and optimization methods.Excellent communication, documentation, and collaboration skills."
Senior Odoo Developer,OdooTec -,12 days ago,"New Cairo, Cairo, Egypt ",Full TimeHybridExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Python · Information Technology (IT) · Software Development · HTML · ERP · Odoo · Software Engineering · Programming · Computer Science,Full Time,Hybrid,https://wuzzuf.net/jobs/p/pw4tx4yqbcys-senior-odoo-developer-odootec-cairo-egypt,Not specified,"Strong proficiency in Python and PostgreSQL.Solid knowledge of Odoo’s core modules (e.g., Sales, Inventory, Accounting, HR, etc.).Experience with Odoo’s ORM, QWeb, and XML.Familiarity with Git or other version control systems.Ability to work independently and manage multiple projects.Good communication and problem-solving skills."
Junior Developer,al-massagroup -,12 days ago,"Nasr City, Cairo, Egypt ","Full TimeOn-siteEntry Level · 0 - 3 Yrs of Exp · females_only · Business Development · IT/Software Development · Engineering - Telecom/Technology · Software Development · Agile Methodologies · Team Collaboration · Analytical Thinking · Programming (Java, C#, Python, JavaScript)",Full Time,On-site,https://wuzzuf.net/jobs/p/lfz9ug0wdkol-junior-developer-al-massagroup-cairo-egypt,Not specified,"Bachelor’s degree in Computer Science, Software Engineering, or a related field.0-3 years of professional experience in software development or a similar role.Familiarity with programming languages such as Java, C#, Python, or JavaScript.Understanding of software development life cycle (SDLC) and agile methodologies.Basic knowledge of databases and SQL.Strong problem-solving and analytical skills.Ability to work effectively in an office-based, team-oriented environment.Excellent communication and interpersonal skills.Eagerness to learn new technologies and adapt to changing requirements.Attention to detail and commitment to delivering high-quality work."
Senior Full Stack Developer,al-massagroup -,12 days ago,"Nasr City, Cairo, Egypt ","Full TimePart TimeOn-siteExperienced · 3 - 7 Yrs of Exp · Creative/Design/Art · IT/Software Development · Full Stack Development · JavaScript (React, Angular, or Vue.js) · Team Collaboration · Node.js or Python · Agile Methodologies · Problem Solving",Full Time,On-site,https://wuzzuf.net/jobs/p/hlmeu8ayrj92-senior-full-stack-developer-al-massagroup-cairo-egypt,Not specified,"Bachelor’s degree in Computer Science, Software Engineering, or a related field.3-7 years of professional experience as a Full Stack Developer or in a similar software development role.Proficiency in both front-end and back-end technologies, such as JavaScript, React, Angular, Node.js, Python, or Java.Strong experience with relational and NoSQL databases (e.g., MySQL, PostgreSQL, MongoDB).Solid understanding of RESTful APIs, microservices architecture, and web security best practices.Demonstrated ability to work independently and collaboratively in a fast-paced, open-office environment.Excellent problem-solving skills and attention to detail.Strong communication skills, with the ability to articulate technical concepts to non-technical stakeholders.Experience with version control systems such as Git.Commitment to continuous learning and staying updated with the latest technology trends."
Odoo Developer – Full Stack,TopLine  -,12 days ago,"Cairo, Egypt ",Full TimeRemoteExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · Python · Odoo CRM · PostgreSQL · RESTful API Integration · Version Control (Git) · Problem Solving · Odoo Development,Part Time,Remote,https://wuzzuf.net/jobs/p/isvmtll0is9w-odoo-developer-full-stack-topline-cairo-egypt,Not specified,
Backend Engineer (.NET / C#),JungleTech Corporation -,14 days ago,"Las Vegas, United States ",Full TimePart TimeFreelance / ProjectRemoteExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Other · C# · .NET Core · ASP.Net · RESTful APIs · Microservices · Microsoft Azure · Azure DevOps Server · Azure Functions,Full Time,Remote,https://wuzzuf.net/jobs/p/745mwbgqqijv-backend-engineer-net-c-jungletech-corporation-las-vegas-united-states,Not specified,"3+ years of experience in backend development with C# / .NET Core.Strong understanding of API design, microservices, and asynchronous programming.Hands-on experience with Azure cloud infrastructure (App Services, Functions, AKS, DevOps).Experience with AI integrations — especially RAG models, vector databases (e.g., Pinecone, Azure Cognitive Search, FAISS), and LLM APIs (OpenAI, Azure OpenAI, etc.).Proficiency in SQL / NoSQL databases (e.g., MSSQL, CosmosDB, PostgreSQL).Familiarity with CI/CD pipelines and containerization (Docker / Kubernetes).Experience with Python or Node.js for AI pipeline integration.Knowledge of Azure Cognitive Services, AI Search, or OpenAI SDK.Exposure to event-driven systems (Service Bus, Event Grid).Passion for exploring new AI technologies and improving developer experience.Competitive compensation package.Opportunity to work on cutting-edge AI-driven projects.Collaborative, growth-oriented engineering culture.Continuous learning and innovation with modern tech stacks."
AI Model Engineer,Confidential -,15 days ago,"Nasr City, Cairo, Egypt ",Full TimeHybridExperienced · 5+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Machine Learning · Deep Learning · Python Programming · Data Analysis · Model Deployment · TensorFlow · PyTorch,Full Time,Hybrid,https://wuzzuf.net/jobs/p/ygcw2cht2pli-ai-model-engineer-cairo-egypt,Not specified,"Strong proficiency in Python and its data/NLP ecosystem (e.g., pandas, NumPy, NLTK, SpaCy, Gensim).Hands-on experience with transformers and pretrained models.Experience in training/fine-tuning NLP models on custom datasets.Familiarity with REST API development and model deployment tools (e.g., Docker, FastAPI).Understanding of language embeddings, tokenization techniques, attention mechanisms.Experience with MLOps tools is a plus (e.g., MLflow, DVC, Airflow).Knowledge of Arabic NLP is a plus (if required by the project).Bachelor’s or Master’s degree in Computer Science, Data Science, Artificial Intelligence, or a related field.Minimum 5 years of hands-on experience in NLP and Python programming.Excellent analytical and problem-solving skills.Team player with good communication and collaboration abilities.Attention to detail and eagerness to learn.Experience with LLMs and prompt engineering.Experience deploying models on cloud (AWS, Azure, GCP).Familiarity with annotation tools (e.g., Prodigy, Label Studio)."
Automation Engineer,HARMONIEQ -,15 days ago,"Maadi, Cairo, Egypt ",Full TimeOn-siteExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Automation · API · Cloud · Computer Science · Engineering · CRM · Information Technology (IT) · JavaScript · REST,Part Time,On-site,https://wuzzuf.net/jobs/p/0vfwxmiwp7bw-automation-engineer-creative-motion-cairo-egypt,Not specified,"Experience in the real estate or digital marketing industriesStrong experience with automation tools (preferably n8n)Solid understanding of REST API integrations (CRM, WhatsApp, Google/Meta Ads, etc.)Basic knowledge of AI and LLMsProficiency in Python or JavaScript (enough to handle basic scripting)Fluency in Arabic and EnglishFamiliarity with Salesforce and WhatsApp Cloud API"
AI Developer,HARMONIEQ -,15 days ago,"Maadi, Cairo, Egypt ",Full TimeRemoteEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · PyTorch · AI · Software Development · Program Development · Algorithms · Software Engineering · Python Programming,Freelance / Project,Remote,https://wuzzuf.net/jobs/p/du1gjo3apcjc-ai-developer-creative-motion-cairo-egypt,Not specified,"Bachelor’s degree or several years of experience in computer science, data science, software development, or another related field; a master’s degree is recommendedSolid understanding of common programming languages used in AI, such as Python, Java, C++, and RAdvanced knowledge of statistical and algorithmic models as well as of fundamental mathematical concepts, such as linear algebra and probabilityExperience working with large data sets and writing efficient code capable of processing large data streams at speedFamiliarity with deep learning and machine learning algorithms and the use of popular AI/ML frameworksExcellent communication skills"
Senior Odoo developer,Kandil Industries -,16 days ago,"Nasr City, Cairo, Egypt ",Full TimeOn-siteExperienced · 3 - 6 Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · Python Programming · Odoo Development · PostgreSQL · API Integration · HTML/CSS · Problem Solving · JavaScript,Full Time,On-site,https://wuzzuf.net/jobs/p/ckfh4v9vnocr-senior-odoo-developer-kandil-industries-cairo-egypt,Not specified,"Bachelor’s degree in Computer Science, Information Technology, or a related field.3 to 6 years of proven experience in Odoo development, with a strong portfolio of completed projects.Expertise in Python programming and Odoo framework (versions 12 and above preferred).Solid understanding of PostgreSQL database management and optimization.Experience integrating Odoo with external APIs and third-party systems.Proficiency in front-end technologies such as JavaScript, HTML, and CSS.Strong analytical and problem-solving skills with attention to detail.Ability to work independently and collaboratively in a fast-paced environment.Excellent communication skills for effective collaboration with technical and non-technical stakeholders.Experience with version control systems such as Git."
Senior Odoo Developer,Union Group -,16 days ago,"Obour City, Cairo, Egypt ",Full TimeOn-siteExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo Development · Python Programming · HTML5 & CSS3 · PostgreSQL · API Integration · JavaScript · Problem Solving · Version Control (Git),Full Time,On-site,https://wuzzuf.net/jobs/p/cgwnmorsocym-senior-odoo-developer-union-group-cairo-egypt,Not specified,"Bachelor or Master degree in computer science or equivalent.2 to 5 years’ experience.You are motivated, detail-oriented and responsible.You are organized, autonomous, you know how to work under limited supervision and in a fast-paced team/environment.You communicate proactively and are comfortable with both oral and written communication, online and offline.You write quality code while respecting the functional requirements as well as the budget and deadlines."
